machineid;timestamp;isdisturbed
G352-2125;2020-07-20 16:48:51.846+00;True
G352-2125;2020-07-20 16:52:58.119+00;False
G352-2125;2020-07-20 17:07:25.927+00;True
G352-2125;2020-07-20 17:22:59.854+00;False
G352-2125;2020-07-20 17:37:01.732+00;True
G352-2125;2020-07-20 17:45:43.145+00;False
G352-2125;2020-07-20 17:59:53.506+00;True
G352-2125;2020-07-20 18:02:19.011+00;False
G352-2125;2020-07-20 18:18:47.769+00;True
G352-2125;2020-07-20 18:19:58.091+00;False
G352-2125;2020-07-20 18:34:38.858+00;True
G352-2125;2020-07-20 18:37:38.365+00;False
G352-2125;2020-07-21 05:37:56.86+00;True
G352-2125;2020-07-21 05:38:01.5+00;False
G352-2125;2020-07-21 06:05:32.813+00;True
G352-2125;2020-07-21 06:05:36.344+00;False
G352-2125;2020-07-21 08:50:31.303+00;True
G352-2125;2020-07-21 08:50:34.741+00;False
G352-2125;2020-07-21 08:54:41.204+00;True
G352-2125;2020-07-21 09:16:58.713+00;False
G352-2125;2020-07-21 09:18:16.371+00;True
G352-2125;2020-07-21 09:18:30.449+00;False
G352-2125;2020-07-21 09:18:34.043+00;True
G352-2125;2020-07-21 09:18:51.855+00;False
G352-2125;2020-07-21 09:51:43.083+00;True
G352-2125;2020-07-21 10:24:44.991+00;False
G352-2125;2020-07-21 11:18:52.714+00;True
G352-2125;2020-07-21 11:42:35.287+00;False
G352-2125;2020-07-21 11:42:41.896+00;True
G352-2125;2020-07-21 11:43:12.959+00;False
G352-2125;2020-07-28 14:37:46.803+00;True
G352-2125;2020-07-28 14:44:04.979+00;False
G352-2125;2020-07-29 04:57:30.97+00;True
G352-2125;2020-07-29 04:57:45.907+00;False
G352-2125;2020-07-29 08:08:08.201+00;True
G352-2125;2020-07-29 08:09:13.06+00;False
G352-2125;2020-07-29 10:08:23.346+00;True
G352-2125;2020-07-29 10:08:35.174+00;False
G352-2125;2020-07-29 11:04:52.794+00;True
G352-2125;2020-07-29 11:06:05.395+00;False
G352-2125;2020-07-29 11:56:09.492+00;True
G352-2125;2020-07-29 11:56:29.133+00;False
G352-2125;2020-07-29 14:14:03.18+00;True
G352-2125;2020-07-29 14:30:28.421+00;False
G352-2125;2020-07-29 14:51:53.797+00;True
G352-2125;2020-07-29 14:52:20.641+00;False
G352-2125;2020-08-03 04:55:36.781+00;True
G352-2125;2020-08-03 04:56:14.766+00;False
G352-2125;2020-08-03 05:41:56.002+00;True
G352-2125;2020-08-03 05:42:36.284+00;False
G352-2125;2020-08-03 06:29:22.61+00;True
G352-2125;2020-08-03 06:30:03.048+00;False
G352-2125;2020-08-03 06:31:23.221+00;True
G352-2125;2020-08-03 06:32:03.409+00;False
G352-2125;2020-08-04 09:23:51.881+00;True
G352-2125;2020-08-04 09:24:30.194+00;False
G352-2125;2020-08-04 09:55:00.403+00;True
G352-2125;2020-08-04 09:55:39.864+00;False
G352-2125;2020-08-05 11:44:10.86+00;True
G352-2125;2020-08-05 11:44:50.508+00;False
G352-2125;2020-08-24 08:28:18.196+00;True
G352-2125;2020-08-24 08:31:00.471+00;False
G352-2125;2020-08-26 08:53:47.109+00;True
G352-2125;2020-08-26 08:54:28.07+00;False
G352-2125;2020-08-28 04:04:19.337+00;True
G352-2125;2020-08-28 04:05:01.963+00;False
G352-2125;2020-08-31 05:37:55.091+00;True
G352-2125;2020-08-31 05:38:17.878+00;False
G352-2125;2020-08-31 05:39:00.5+00;True
G352-2125;2020-08-31 05:39:17.493+00;False
G352-2125;2020-08-31 05:40:06.096+00;True
G352-2125;2020-08-31 05:40:10.48+00;False
G352-2125;2020-08-31 05:40:23.095+00;True
G352-2125;2020-08-31 05:40:41.084+00;False
G352-2125;2020-08-31 05:43:18.886+00;True
G352-2125;2020-08-31 05:43:28.685+00;False
G352-2125;2020-08-31 05:43:45.483+00;True
G352-2125;2020-08-31 05:43:58.108+00;False
G352-2125;2020-08-31 05:44:21.905+00;True
G352-2125;2020-08-31 05:44:26.889+00;False
G352-2125;2020-08-31 07:35:59.022+00;True
G352-2125;2020-08-31 07:36:00.24+00;False
G352-2188;2020-06-02 04:00:38.344+00;False
G352-2188;2020-06-02 11:18:38.647+00;True
G352-2188;2020-06-02 11:18:44.459+00;False
G352-2188;2020-06-04 12:48:25.746+00;True
G352-2188;2020-06-04 12:48:49.308+00;False
G352-2188;2020-06-04 13:52:31.663+00;True
G352-2188;2020-06-04 13:53:58.616+00;False
G352-2188;2020-06-05 07:32:25.825+00;True
G352-2188;2020-06-05 07:37:20.713+00;False
G352-2188;2020-06-08 03:39:37.975+00;True
G352-2188;2020-06-08 04:45:34.082+00;False
G352-2188;2020-06-08 04:45:42.238+00;True
G352-2188;2020-06-08 04:56:18.952+00;False
G352-2188;2020-06-08 05:59:15.717+00;True
G352-2188;2020-06-08 06:07:12.119+00;False
G352-2188;2020-06-08 08:37:33.426+00;True
G352-2188;2020-06-08 08:46:04.048+00;False
G352-2188;2020-06-08 09:12:14.131+00;True
G352-2188;2020-06-08 09:12:40.428+00;False
G352-2188;2020-06-08 09:18:17.363+00;True
G352-2188;2020-06-08 09:19:53.503+00;False
G352-2188;2020-06-08 09:23:03.501+00;True
G352-2188;2020-06-08 09:24:04.595+00;False
G352-2188;2020-06-08 09:27:00.109+00;True
G352-2188;2020-06-08 09:27:35.421+00;False
G352-2188;2020-06-08 09:27:52.78+00;True
G352-2188;2020-06-08 09:28:02.015+00;False
G352-2188;2020-06-08 09:28:19.124+00;True
G352-2188;2020-06-08 09:28:27.921+00;False
G352-2188;2020-06-08 11:06:53.142+00;True
G352-2188;2020-06-08 11:08:55.063+00;False
G352-2188;2020-06-08 11:10:21.969+00;True
G352-2188;2020-06-08 11:10:30.906+00;False
G352-2188;2020-06-08 11:15:59.31+00;True
G352-2188;2020-06-08 11:16:07.857+00;False
G352-2188;2020-06-08 11:17:36.528+00;True
G352-2188;2020-06-08 12:07:48.535+00;False
G352-2188;2020-06-08 12:15:35.594+00;True
G352-2188;2020-06-08 12:16:36.234+00;False
G352-2188;2020-06-08 12:48:09.235+00;True
G352-2188;2020-06-08 12:49:10.093+00;False
G352-2188;2020-06-08 13:08:51.662+00;True
G352-2188;2020-06-08 13:09:00.381+00;False
G352-2188;2020-06-08 19:53:34.755+00;True
G352-2188;2020-06-08 19:53:43.755+00;False
G352-2188;2020-06-09 06:39:04.741+00;True
G352-2188;2020-06-09 06:39:13.803+00;False
G352-2188;2020-06-09 06:56:23.138+00;True
G352-2188;2020-06-09 06:57:17.153+00;False
G352-2188;2020-06-09 11:23:10.922+00;True
G352-2188;2020-06-09 11:26:33.967+00;False
G352-2188;2020-06-09 16:13:15.451+00;True
G352-2188;2020-06-09 16:14:03.623+00;False
G352-2188;2020-06-10 06:31:36.69+00;True
G352-2188;2020-06-10 06:32:41.111+00;False
G352-2188;2020-06-10 19:24:36.033+00;True
G352-2188;2020-06-10 19:24:45.408+00;False
G352-2188;2020-06-11 05:02:57.113+00;True
G352-2188;2020-06-11 05:06:36.767+00;False
G352-2188;2020-06-11 05:11:33.186+00;True
G352-2188;2020-06-11 05:11:42.936+00;False
G352-2188;2020-06-11 09:14:22.071+00;True
G352-2188;2020-06-11 09:22:45.301+00;False
G352-2188;2020-06-11 09:24:29.847+00;True
G352-2188;2020-06-11 09:24:49.284+00;False
G352-2188;2020-06-11 09:25:08.362+00;True
G352-2188;2020-06-11 09:25:17.784+00;False
G352-2188;2020-06-11 10:16:25.819+00;True
G352-2188;2020-06-11 10:17:14.444+00;False
G352-2188;2020-06-11 10:17:24.022+00;True
G352-2188;2020-06-11 10:17:33.803+00;False
G352-2188;2020-06-11 10:18:13.053+00;True
