16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 16:06:13.1100000; 01.04.2020 16:06:14.8510000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 16:06:13.3100000; 01.04.2020 16:06:14.8510000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 16:06:13.5100000; 01.04.2020 16:06:14.8510000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 16:06:13.7180000; 01.04.2020 16:06:14.8510000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 16:06:13.9180000; 01.04.2020 16:06:14.8510000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 16:06:14.1180000; 01.04.2020 16:06:14.8510000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 16:06:14.3180000; 01.04.2020 16:06:14.8510000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 16:06:14.5180000; 01.04.2020 16:06:14.8510000
16927; Kanal 1: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 16:06:14.7260000; 01.04.2020 16:06:14.8510000
16927; Kanal 2: Aktion 'Wechsel in Programmbetriebsart' bei aktiver Interrupt-Behandlung nicht erlaubt; sinumerik_alarm_nck; 01.04.2020 16:06:14.9700000; 01.04.2020 16:06:17.2530000
; ----- Start Alarmerfassung -----; ; 02.04.2020 06:02:12.2160000; 02.04.2020 06:02:12.2160000
27002; Achse X_1_ Teststop läuft; sinumerik_alarm_nck; 02.04.2020 06:02:51.8750000; 02.04.2020 06:02:52.0790000
27002; Achse Y_1_ Teststop läuft; sinumerik_alarm_nck; 02.04.2020 06:02:51.8750000; 02.04.2020 06:02:52.0790000
27002; Achse A_1_ Teststop läuft; sinumerik_alarm_nck; 02.04.2020 06:02:51.8830000; 02.04.2020 06:02:52.0870000
